GEOID,NAME,variable,estimate,moe,year,label_short
2502702760,Auburn,B25041_002,152,75,2010,No bedroom
2502702760,Auburn,B25041_003,469,130,2010,1 bedroom
2502702760,Auburn,B25041_004,1724,199,2010,2 bedrooms
2502702760,Auburn,B25041_005,3261,245,2010,3 bedrooms
2502702760,Auburn,B25041_006,932,166,2010,4 bedrooms
2502702760,Auburn,B25041_007,222,91,2010,5 or more bedrooms
2502703740,Barre,B25041_002,0,127,2010,No bedroom
2502703740,Barre,B25041_003,145,95,2010,1 bedroom
2502703740,Barre,B25041_004,651,158,2010,2 bedrooms
2502703740,Barre,B25041_005,1049,190,2010,3 bedrooms
2502703740,Barre,B25041_006,280,91,2010,4 bedrooms
2502703740,Barre,B25041_007,243,118,2010,5 or more bedrooms
2502705490,Berlin,B25041_002,6,11,2010,No bedroom
2502705490,Berlin,B25041_003,82,49,2010,1 bedroom
2502705490,Berlin,B25041_004,199,57,2010,2 bedrooms
2502705490,Berlin,B25041_005,385,73,2010,3 bedrooms
2502705490,Berlin,B25041_006,304,67,2010,4 bedrooms
2502705490,Berlin,B25041_007,68,28,2010,5 or more bedrooms
2502706015,Blackstone,B25041_002,0,127,2010,No bedroom
2502706015,Blackstone,B25041_003,564,162,2010,1 bedroom
2502706015,Blackstone,B25041_004,1206,247,2010,2 bedrooms
2502706015,Blackstone,B25041_005,1184,225,2010,3 bedrooms
2502706015,Blackstone,B25041_006,627,148,2010,4 bedrooms
2502706015,Blackstone,B25041_007,145,91,2010,5 or more bedrooms
2502707525,Boylston,B25041_002,0,127,2010,No bedroom
2502707525,Boylston,B25041_003,164,67,2010,1 bedroom
2502707525,Boylston,B25041_004,411,113,2010,2 bedrooms
2502707525,Boylston,B25041_005,676,110,2010,3 bedrooms
2502707525,Boylston,B25041_006,478,91,2010,4 bedrooms
2502707525,Boylston,B25041_007,66,42,2010,5 or more bedrooms
2502709105,Brookfield,B25041_002,0,127,2010,No bedroom
2502709105,Brookfield,B25041_003,91,53,2010,1 bedroom
2502709105,Brookfield,B25041_004,437,104,2010,2 bedrooms
2502709105,Brookfield,B25041_005,711,119,2010,3 bedrooms
2502709105,Brookfield,B25041_006,141,60,2010,4 bedrooms
2502709105,Brookfield,B25041_007,35,28,2010,5 or more bedrooms
2502712715,Charlton,B25041_002,37,58,2010,No bedroom
2502712715,Charlton,B25041_003,338,127,2010,1 bedroom
2502712715,Charlton,B25041_004,1213,249,2010,2 bedrooms
2502712715,Charlton,B25041_005,2129,227,2010,3 bedrooms
2502712715,Charlton,B25041_006,1119,176,2010,4 bedrooms
2502712715,Charlton,B25041_007,103,57,2010,5 or more bedrooms
2502717300,Douglas,B25041_002,0,127,2010,No bedroom
2502717300,Douglas,B25041_003,218,133,2010,1 bedroom
2502717300,Douglas,B25041_004,914,211,2010,2 bedrooms
2502717300,Douglas,B25041_005,1415,200,2010,3 bedrooms
2502717300,Douglas,B25041_006,614,135,2010,4 bedrooms
2502717300,Douglas,B25041_007,45,44,2010,5 or more bedrooms
2502717685,Dudley,B25041_002,25,38,2010,No bedroom
2502717685,Dudley,B25041_003,358,133,2010,1 bedroom
2502717685,Dudley,B25041_004,930,213,2010,2 bedrooms
2502717685,Dudley,B25041_005,1987,211,2010,3 bedrooms
2502717685,Dudley,B25041_006,659,155,2010,4 bedrooms
2502717685,Dudley,B25041_007,101,53,2010,5 or more bedrooms
2502718560,East Brookfield,B25041_002,0,127,2010,No bedroom
2502718560,East Brookfield,B25041_003,60,43,2010,1 bedroom
2502718560,East Brookfield,B25041_004,184,64,2010,2 bedrooms
2502718560,East Brookfield,B25041_005,463,76,2010,3 bedrooms
2502718560,East Brookfield,B25041_006,137,57,2010,4 bedrooms
2502718560,East Brookfield,B25041_007,42,27,2010,5 or more bedrooms
2502726430,Grafton,B25041_002,0,127,2010,No bedroom
2502726430,Grafton,B25041_003,606,130,2010,1 bedroom
2502726430,Grafton,B25041_004,1760,237,2010,2 bedrooms
2502726430,Grafton,B25041_005,2325,278,2010,3 bedrooms
2502726430,Grafton,B25041_006,1609,212,2010,4 bedrooms
2502726430,Grafton,B25041_007,216,82,2010,5 or more bedrooms
2502728740,Hardwick,B25041_002,0,127,2010,No bedroom
2502728740,Hardwick,B25041_003,193,55,2010,1 bedroom
2502728740,Hardwick,B25041_004,206,76,2010,2 bedrooms
2502728740,Hardwick,B25041_005,642,111,2010,3 bedrooms
2502728740,Hardwick,B25041_006,170,60,2010,4 bedrooms
2502728740,Hardwick,B25041_007,79,41,2010,5 or more bedrooms
2502730560,Holden,B25041_002,8,13,2010,No bedroom
2502730560,Holden,B25041_003,479,120,2010,1 bedroom
2502730560,Holden,B25041_004,1019,147,2010,2 bedrooms
2502730560,Holden,B25041_005,3041,251,2010,3 bedrooms
2502730560,Holden,B25041_006,1797,210,2010,4 bedrooms
2502730560,Holden,B25041_007,232,75,2010,5 or more bedrooms
2502730945,Hopedale,B25041_002,0,127,2010,No bedroom
2502730945,Hopedale,B25041_003,104,58,2010,1 bedroom
2502730945,Hopedale,B25041_004,476,134,2010,2 bedrooms
2502730945,Hopedale,B25041_005,951,160,2010,3 bedrooms
2502730945,Hopedale,B25041_006,500,142,2010,4 bedrooms
2502730945,Hopedale,B25041_007,84,72,2010,5 or more bedrooms
2502734795,Leicester,B25041_002,135,108,2010,No bedroom
2502734795,Leicester,B25041_003,443,124,2010,1 bedroom
2502734795,Leicester,B25041_004,946,194,2010,2 bedrooms
2502734795,Leicester,B25041_005,1850,264,2010,3 bedrooms
2502734795,Leicester,B25041_006,790,164,2010,4 bedrooms
2502734795,Leicester,B25041_007,153,73,2010,5 or more bedrooms
2502740255,Mendon,B25041_002,0,127,2010,No bedroom
2502740255,Mendon,B25041_003,51,52,2010,1 bedroom
2502740255,Mendon,B25041_004,335,124,2010,2 bedrooms
2502740255,Mendon,B25041_005,925,127,2010,3 bedrooms
2502740255,Mendon,B25041_006,706,119,2010,4 bedrooms
2502740255,Mendon,B25041_007,65,48,2010,5 or more bedrooms
2502741340,Millbury,B25041_002,24,26,2010,No bedroom
2502741340,Millbury,B25041_003,632,164,2010,1 bedroom
2502741340,Millbury,B25041_004,1632,272,2010,2 bedrooms
2502741340,Millbury,B25041_005,2354,258,2010,3 bedrooms
2502741340,Millbury,B25041_006,804,190,2010,4 bedrooms
2502741340,Millbury,B25041_007,154,69,2010,5 or more bedrooms
2502741585,Millville,B25041_002,0,127,2010,No bedroom
2502741585,Millville,B25041_003,50,48,2010,1 bedroom
2502741585,Millville,B25041_004,325,75,2010,2 bedrooms
2502741585,Millville,B25041_005,364,65,2010,3 bedrooms
2502741585,Millville,B25041_006,267,74,2010,4 bedrooms
2502741585,Millville,B25041_007,65,29,2010,5 or more bedrooms
2502745105,New Braintree,B25041_002,0,127,2010,No bedroom
2502745105,New Braintree,B25041_003,10,9,2010,1 bedroom
2502745105,New Braintree,B25041_004,84,26,2010,2 bedrooms
2502745105,New Braintree,B25041_005,181,42,2010,3 bedrooms
2502745105,New Braintree,B25041_006,65,32,2010,4 bedrooms
2502745105,New Braintree,B25041_007,23,15,2010,5 or more bedrooms
2502746820,Northborough,B25041_002,10,16,2010,No bedroom
2502746820,Northborough,B25041_003,330,86,2010,1 bedroom
2502746820,Northborough,B25041_004,772,144,2010,2 bedrooms
2502746820,Northborough,B25041_005,2117,199,2010,3 bedrooms
2502746820,Northborough,B25041_006,1731,187,2010,4 bedrooms
2502746820,Northborough,B25041_007,257,101,2010,5 or more bedrooms
2502746925,Northbridge,B25041_002,11,18,2010,No bedroom
2502746925,Northbridge,B25041_003,503,167,2010,1 bedroom
2502746925,Northbridge,B25041_004,1327,231,2010,2 bedrooms
2502746925,Northbridge,B25041_005,2481,280,2010,3 bedrooms
2502746925,Northbridge,B25041_006,1125,181,2010,4 bedrooms
2502746925,Northbridge,B25041_007,220,102,2010,5 or more bedrooms
2502747135,North Brookfield,B25041_002,36,61,2010,No bedroom
2502747135,North Brookfield,B25041_003,303,110,2010,1 bedroom
2502747135,North Brookfield,B25041_004,521,139,2010,2 bedrooms
2502747135,North Brookfield,B25041_005,703,147,2010,3 bedrooms
2502747135,North Brookfield,B25041_006,323,118,2010,4 bedrooms
2502747135,North Brookfield,B25041_007,78,76,2010,5 or more bedrooms
2502750670,Oakham,B25041_002,0,127,2010,No bedroom
2502750670,Oakham,B25041_003,21,14,2010,1 bedroom
2502750670,Oakham,B25041_004,121,30,2010,2 bedrooms
2502750670,Oakham,B25041_005,390,47,2010,3 bedrooms
2502750670,Oakham,B25041_006,130,27,2010,4 bedrooms
2502750670,Oakham,B25041_007,32,16,2010,5 or more bedrooms
2502751825,Oxford,B25041_002,15,23,2010,No bedroom
2502751825,Oxford,B25041_003,822,218,2010,1 bedroom
2502751825,Oxford,B25041_004,1318,198,2010,2 bedrooms
2502751825,Oxford,B25041_005,2222,294,2010,3 bedrooms
2502751825,Oxford,B25041_006,990,191,2010,4 bedrooms
2502751825,Oxford,B25041_007,221,111,2010,5 or more bedrooms
2502752420,Paxton,B25041_002,0,127,2010,No bedroom
2502752420,Paxton,B25041_003,10,17,2010,1 bedroom
2502752420,Paxton,B25041_004,170,71,2010,2 bedrooms
2502752420,Paxton,B25041_005,820,120,2010,3 bedrooms
2502752420,Paxton,B25041_006,456,105,2010,4 bedrooms
2502752420,Paxton,B25041_007,164,80,2010,5 or more bedrooms
2502755395,Princeton,B25041_002,24,38,2010,No bedroom
2502755395,Princeton,B25041_003,78,42,2010,1 bedroom
2502755395,Princeton,B25041_004,135,63,2010,2 bedrooms
2502755395,Princeton,B25041_005,558,109,2010,3 bedrooms
2502755395,Princeton,B25041_006,372,98,2010,4 bedrooms
2502755395,Princeton,B25041_007,142,65,2010,5 or more bedrooms
2502758825,Rutland,B25041_002,0,127,2010,No bedroom
2502758825,Rutland,B25041_003,235,110,2010,1 bedroom
2502758825,Rutland,B25041_004,503,136,2010,2 bedrooms
2502758825,Rutland,B25041_005,1300,161,2010,3 bedrooms
2502758825,Rutland,B25041_006,460,127,2010,4 bedrooms
2502758825,Rutland,B25041_007,134,73,2010,5 or more bedrooms
2502761800,Shrewsbury,B25041_002,13,21,2010,No bedroom
2502761800,Shrewsbury,B25041_003,1614,288,2010,1 bedroom
2502761800,Shrewsbury,B25041_004,3562,367,2010,2 bedrooms
2502761800,Shrewsbury,B25041_005,4361,360,2010,3 bedrooms
2502761800,Shrewsbury,B25041_006,3455,302,2010,4 bedrooms
2502761800,Shrewsbury,B25041_007,623,163,2010,5 or more bedrooms
2502766105,Spencer,B25041_002,60,69,2010,No bedroom
2502766105,Spencer,B25041_003,668,161,2010,1 bedroom
2502766105,Spencer,B25041_004,1442,271,2010,2 bedrooms
2502766105,Spencer,B25041_005,1789,279,2010,3 bedrooms
2502766105,Spencer,B25041_006,848,171,2010,4 bedrooms
2502766105,Spencer,B25041_007,215,79,2010,5 or more bedrooms
2502768155,Sturbridge,B25041_002,15,24,2010,No bedroom
2502768155,Sturbridge,B25041_003,350,123,2010,1 bedroom
2502768155,Sturbridge,B25041_004,1201,228,2010,2 bedrooms
2502768155,Sturbridge,B25041_005,1605,236,2010,3 bedrooms
2502768155,Sturbridge,B25041_006,743,150,2010,4 bedrooms
2502768155,Sturbridge,B25041_007,127,64,2010,5 or more bedrooms
2502768610,Sutton,B25041_002,0,127,2010,No bedroom
2502768610,Sutton,B25041_003,30,30,2010,1 bedroom
2502768610,Sutton,B25041_004,640,162,2010,2 bedrooms
2502768610,Sutton,B25041_005,1600,209,2010,3 bedrooms
2502768610,Sutton,B25041_006,815,146,2010,4 bedrooms
2502768610,Sutton,B25041_007,124,60,2010,5 or more bedrooms
2502771480,Upton,B25041_002,0,127,2010,No bedroom
2502771480,Upton,B25041_003,84,52,2010,1 bedroom
2502771480,Upton,B25041_004,371,109,2010,2 bedrooms
2502771480,Upton,B25041_005,1158,177,2010,3 bedrooms
2502771480,Upton,B25041_006,843,152,2010,4 bedrooms
2502771480,Upton,B25041_007,130,68,2010,5 or more bedrooms
2502771620,Uxbridge,B25041_002,10,15,2010,No bedroom
2502771620,Uxbridge,B25041_003,363,118,2010,1 bedroom
2502771620,Uxbridge,B25041_004,1560,239,2010,2 bedrooms
2502771620,Uxbridge,B25041_005,2088,232,2010,3 bedrooms
2502771620,Uxbridge,B25041_006,967,191,2010,4 bedrooms
2502771620,Uxbridge,B25041_007,110,68,2010,5 or more bedrooms
2502773090,Warren,B25041_002,68,54,2010,No bedroom
2502773090,Warren,B25041_003,294,137,2010,1 bedroom
2502773090,Warren,B25041_004,692,182,2010,2 bedrooms
2502773090,Warren,B25041_005,806,152,2010,3 bedrooms
2502773090,Warren,B25041_006,231,102,2010,4 bedrooms
2502773090,Warren,B25041_007,97,70,2010,5 or more bedrooms
2502773895,Webster,B25041_002,98,56,2010,No bedroom
2502773895,Webster,B25041_003,1086,209,2010,1 bedroom
2502773895,Webster,B25041_004,2550,313,2010,2 bedrooms
2502773895,Webster,B25041_005,3527,361,2010,3 bedrooms
2502773895,Webster,B25041_006,786,175,2010,4 bedrooms
2502773895,Webster,B25041_007,310,137,2010,5 or more bedrooms
2502775015,Westborough,B25041_002,152,131,2010,No bedroom
2502775015,Westborough,B25041_003,1355,287,2010,1 bedroom
2502775015,Westborough,B25041_004,1560,230,2010,2 bedrooms
2502775015,Westborough,B25041_005,1613,207,2010,3 bedrooms
2502775015,Westborough,B25041_006,2005,205,2010,4 bedrooms
2502775015,Westborough,B25041_007,378,94,2010,5 or more bedrooms
2502775155,West Boylston,B25041_002,0,127,2010,No bedroom
2502775155,West Boylston,B25041_003,226,81,2010,1 bedroom
2502775155,West Boylston,B25041_004,547,129,2010,2 bedrooms
2502775155,West Boylston,B25041_005,1064,216,2010,3 bedrooms
2502775155,West Boylston,B25041_006,447,106,2010,4 bedrooms
2502775155,West Boylston,B25041_007,59,38,2010,5 or more bedrooms
2502775400,West Brookfield,B25041_002,29,47,2010,No bedroom
2502775400,West Brookfield,B25041_003,200,92,2010,1 bedroom
2502775400,West Brookfield,B25041_004,503,135,2010,2 bedrooms
2502775400,West Brookfield,B25041_005,670,129,2010,3 bedrooms
2502775400,West Brookfield,B25041_006,227,78,2010,4 bedrooms
2502775400,West Brookfield,B25041_007,63,56,2010,5 or more bedrooms
2502782000,Worcester,B25041_002,1588,304,2010,No bedroom
2502782000,Worcester,B25041_003,12833,724,2010,1 bedroom
2502782000,Worcester,B25041_004,25761,1022,2010,2 bedrooms
2502782000,Worcester,B25041_005,29121,1073,2010,3 bedrooms
2502782000,Worcester,B25041_006,7616,531,2010,4 bedrooms
2502782000,Worcester,B25041_007,2111,313,2010,5 or more bedrooms
