GEOID,NAME,variable,estimate,moe,year,label_short
2502702760,Auburn,B25002_002,6417,227,2010,Occupied
2502702760,Auburn,B25002_003,343,120,2010,Vacant
2502703740,Barre,B25002_002,2081,160,2010,Occupied
2502703740,Barre,B25002_003,287,146,2010,Vacant
2502705490,Berlin,B25002_002,1044,59,2010,Occupied
2502705490,Berlin,B25002_003,0,127,2010,Vacant
2502706015,Blackstone,B25002_002,3366,204,2010,Occupied
2502706015,Blackstone,B25002_003,360,161,2010,Vacant
2502707525,Boylston,B25002_002,1698,75,2010,Occupied
2502707525,Boylston,B25002_003,97,83,2010,Vacant
2502709105,Brookfield,B25002_002,1375,82,2010,Occupied
2502709105,Brookfield,B25002_003,40,46,2010,Vacant
2502712715,Charlton,B25002_002,4454,169,2010,Occupied
2502712715,Charlton,B25002_003,485,167,2010,Vacant
2502717300,Douglas,B25002_002,3026,167,2010,Occupied
2502717300,Douglas,B25002_003,180,130,2010,Vacant
2502717685,Dudley,B25002_002,3931,229,2010,Occupied
2502717685,Dudley,B25002_003,129,90,2010,Vacant
2502718560,East Brookfield,B25002_002,736,61,2010,Occupied
2502718560,East Brookfield,B25002_003,150,67,2010,Vacant
2502726430,Grafton,B25002_002,6225,224,2010,Occupied
2502726430,Grafton,B25002_003,291,98,2010,Vacant
2502728740,Hardwick,B25002_002,1180,90,2010,Occupied
2502728740,Hardwick,B25002_003,110,51,2010,Vacant
2502730560,Holden,B25002_002,6317,189,2010,Occupied
2502730560,Holden,B25002_003,259,124,2010,Vacant
2502730945,Hopedale,B25002_002,2115,168,2010,Occupied
2502730945,Hopedale,B25002_003,0,127,2010,Vacant
2502734795,Leicester,B25002_002,3951,187,2010,Occupied
2502734795,Leicester,B25002_003,366,148,2010,Vacant
2502740255,Mendon,B25002_002,1955,102,2010,Occupied
2502740255,Mendon,B25002_003,127,75,2010,Vacant
2502741340,Millbury,B25002_002,5360,214,2010,Occupied
2502741340,Millbury,B25002_003,240,127,2010,Vacant
2502741585,Millville,B25002_002,1032,55,2010,Occupied
2502741585,Millville,B25002_003,39,42,2010,Vacant
2502745105,New Braintree,B25002_002,358,50,2010,Occupied
2502745105,New Braintree,B25002_003,5,5,2010,Vacant
2502746820,Northborough,B25002_002,5059,165,2010,Occupied
2502746820,Northborough,B25002_003,158,105,2010,Vacant
2502746925,Northbridge,B25002_002,5492,201,2010,Occupied
2502746925,Northbridge,B25002_003,175,130,2010,Vacant
2502747135,North Brookfield,B25002_002,1964,138,2010,Occupied
2502747135,North Brookfield,B25002_003,0,127,2010,Vacant
2502750670,Oakham,B25002_002,674,37,2010,Occupied
2502750670,Oakham,B25002_003,20,16,2010,Vacant
2502751825,Oxford,B25002_002,5425,220,2010,Occupied
2502751825,Oxford,B25002_003,163,112,2010,Vacant
2502752420,Paxton,B25002_002,1582,105,2010,Occupied
2502752420,Paxton,B25002_003,38,43,2010,Vacant
2502755395,Princeton,B25002_002,1251,67,2010,Occupied
2502755395,Princeton,B25002_003,58,59,2010,Vacant
2502758825,Rutland,B25002_002,2540,159,2010,Occupied
2502758825,Rutland,B25002_003,92,65,2010,Vacant
2502761800,Shrewsbury,B25002_002,13026,274,2010,Occupied
2502761800,Shrewsbury,B25002_003,602,231,2010,Vacant
2502766105,Spencer,B25002_002,4608,247,2010,Occupied
2502766105,Spencer,B25002_003,414,167,2010,Vacant
2502768155,Sturbridge,B25002_002,3686,152,2010,Occupied
2502768155,Sturbridge,B25002_003,355,144,2010,Vacant
2502768610,Sutton,B25002_002,3137,133,2010,Occupied
2502768610,Sutton,B25002_003,72,56,2010,Vacant
2502771480,Upton,B25002_002,2449,114,2010,Occupied
2502771480,Upton,B25002_003,137,83,2010,Vacant
2502771620,Uxbridge,B25002_002,4913,184,2010,Occupied
2502771620,Uxbridge,B25002_003,185,126,2010,Vacant
2502773090,Warren,B25002_002,1990,190,2010,Occupied
2502773090,Warren,B25002_003,198,92,2010,Vacant
2502773895,Webster,B25002_002,7380,255,2010,Occupied
2502773895,Webster,B25002_003,977,255,2010,Vacant
2502775015,Westborough,B25002_002,6543,327,2010,Occupied
2502775015,Westborough,B25002_003,520,197,2010,Vacant
