GEOID,NAME,variable,estimate,moe,year,label_short
2502702760,Auburn,B25024_002,5166,249,2010,"1, detached"
2502702760,Auburn,B25024_003,298,78,2010,"1, attached"
2502702760,Auburn,B25024_004,328,128,2010,2
2502702760,Auburn,B25024_005,298,94,2010,3 or 4
2502702760,Auburn,B25024_006,116,52,2010,5 to 9
2502702760,Auburn,B25024_007,35,27,2010,10 to 19
2502702760,Auburn,B25024_008,18,21,2010,20 to 49
2502702760,Auburn,B25024_009,193,98,2010,50 or more
2502702760,Auburn,B25024_010,308,65,2010,Mobile home
2502702760,Auburn,B25024_011,0,127,2010,"Boat, RV, van, etc."
2502703740,Barre,B25024_002,1721,201,2010,"1, detached"
2502703740,Barre,B25024_003,52,51,2010,"1, attached"
2502703740,Barre,B25024_004,373,139,2010,2
2502703740,Barre,B25024_005,112,94,2010,3 or 4
2502703740,Barre,B25024_006,0,127,2010,5 to 9
2502703740,Barre,B25024_007,60,63,2010,10 to 19
2502703740,Barre,B25024_008,0,127,2010,20 to 49
2502703740,Barre,B25024_009,0,127,2010,50 or more
2502703740,Barre,B25024_010,50,42,2010,Mobile home
2502703740,Barre,B25024_011,0,127,2010,"Boat, RV, van, etc."
2502705490,Berlin,B25024_002,851,78,2010,"1, detached"
2502705490,Berlin,B25024_003,79,29,2010,"1, attached"
2502705490,Berlin,B25024_004,66,38,2010,2
2502705490,Berlin,B25024_005,34,33,2010,3 or 4
2502705490,Berlin,B25024_006,14,15,2010,5 to 9
2502705490,Berlin,B25024_007,0,127,2010,10 to 19
2502705490,Berlin,B25024_008,0,127,2010,20 to 49
2502705490,Berlin,B25024_009,0,127,2010,50 or more
2502705490,Berlin,B25024_010,0,127,2010,Mobile home
2502705490,Berlin,B25024_011,0,127,2010,"Boat, RV, van, etc."
2502706015,Blackstone,B25024_002,2282,215,2010,"1, detached"
2502706015,Blackstone,B25024_003,278,104,2010,"1, attached"
2502706015,Blackstone,B25024_004,571,196,2010,2
2502706015,Blackstone,B25024_005,295,116,2010,3 or 4
2502706015,Blackstone,B25024_006,270,111,2010,5 to 9
2502706015,Blackstone,B25024_007,30,24,2010,10 to 19
2502706015,Blackstone,B25024_008,0,127,2010,20 to 49
2502706015,Blackstone,B25024_009,0,127,2010,50 or more
2502706015,Blackstone,B25024_010,0,127,2010,Mobile home
2502706015,Blackstone,B25024_011,0,127,2010,"Boat, RV, van, etc."
2502707525,Boylston,B25024_002,1469,113,2010,"1, detached"
2502707525,Boylston,B25024_003,147,60,2010,"1, attached"
2502707525,Boylston,B25024_004,0,127,2010,2
2502707525,Boylston,B25024_005,61,38,2010,3 or 4
2502707525,Boylston,B25024_006,93,52,2010,5 to 9
2502707525,Boylston,B25024_007,25,28,2010,10 to 19
2502707525,Boylston,B25024_008,0,127,2010,20 to 49
2502707525,Boylston,B25024_009,0,127,2010,50 or more
2502707525,Boylston,B25024_010,0,127,2010,Mobile home
2502707525,Boylston,B25024_011,0,127,2010,"Boat, RV, van, etc."
2502709105,Brookfield,B25024_002,921,102,2010,"1, detached"
