GEOID,NAME,variable,estimate,moe,year,label_short
2502702760,Auburn,B08303_002,224,94,2010,Less than 5 minutes
2502702760,Auburn,B08303_003,1110,216,2010,5 to 9 minutes
2502702760,Auburn,B08303_004,1113,206,2010,10 to 14 minutes
2502702760,Auburn,B08303_005,1044,161,2010,15 to 19 minutes
2502702760,Auburn,B08303_006,1320,230,2010,20 to 24 minutes
2502702760,Auburn,B08303_007,438,146,2010,25 to 29 minutes
2502702760,Auburn,B08303_008,1117,189,2010,30 to 34 minutes
2502702760,Auburn,B08303_009,345,162,2010,35 to 39 minutes
2502702760,Auburn,B08303_010,253,111,2010,40 to 44 minutes
2502702760,Auburn,B08303_011,648,189,2010,45 to 59 minutes
2502702760,Auburn,B08303_012,441,130,2010,60 to 89 minutes
2502702760,Auburn,B08303_013,57,41,2010,90 or more minutes
2502703740,Barre,B08303_002,91,76,2010,Less than 5 minutes
2502703740,Barre,B08303_003,281,130,2010,5 to 9 minutes
2502703740,Barre,B08303_004,168,95,2010,10 to 14 minutes
2502703740,Barre,B08303_005,235,114,2010,15 to 19 minutes
2502703740,Barre,B08303_006,206,87,2010,20 to 24 minutes
2502703740,Barre,B08303_007,23,27,2010,25 to 29 minutes
2502703740,Barre,B08303_008,303,123,2010,30 to 34 minutes
2502703740,Barre,B08303_009,172,100,2010,35 to 39 minutes
2502703740,Barre,B08303_010,312,124,2010,40 to 44 minutes
2502703740,Barre,B08303_011,432,124,2010,45 to 59 minutes
2502703740,Barre,B08303_012,317,126,2010,60 to 89 minutes
2502703740,Barre,B08303_013,103,62,2010,90 or more minutes
2502705490,Berlin,B08303_002,119,63,2010,Less than 5 minutes
2502705490,Berlin,B08303_003,95,46,2010,5 to 9 minutes
2502705490,Berlin,B08303_004,170,62,2010,10 to 14 minutes
2502705490,Berlin,B08303_005,209,54,2010,15 to 19 minutes
2502705490,Berlin,B08303_006,223,66,2010,20 to 24 minutes
2502705490,Berlin,B08303_007,90,33,2010,25 to 29 minutes
2502705490,Berlin,B08303_008,97,39,2010,30 to 34 minutes
2502705490,Berlin,B08303_009,3,6,2010,35 to 39 minutes
2502705490,Berlin,B08303_010,67,33,2010,40 to 44 minutes
2502705490,Berlin,B08303_011,99,52,2010,45 to 59 minutes
2502705490,Berlin,B08303_012,126,49,2010,60 to 89 minutes
2502705490,Berlin,B08303_013,31,26,2010,90 or more minutes
2502706015,Blackstone,B08303_002,117,76,2010,Less than 5 minutes
2502706015,Blackstone,B08303_003,157,89,2010,5 to 9 minutes
2502706015,Blackstone,B08303_004,468,214,2010,10 to 14 minutes
2502706015,Blackstone,B08303_005,659,178,2010,15 to 19 minutes
2502706015,Blackstone,B08303_006,1080,284,2010,20 to 24 minutes
2502706015,Blackstone,B08303_007,205,86,2010,25 to 29 minutes
2502706015,Blackstone,B08303_008,529,146,2010,30 to 34 minutes
2502706015,Blackstone,B08303_009,202,110,2010,35 to 39 minutes
2502706015,Blackstone,B08303_010,221,108,2010,40 to 44 minutes
2502706015,Blackstone,B08303_011,622,170,2010,45 to 59 minutes
2502706015,Blackstone,B08303_012,423,129,2010,60 to 89 minutes
2502706015,Blackstone,B08303_013,92,63,2010,90 or more minutes
2502707525,Boylston,B08303_002,74,44,2010,Less than 5 minutes
2502707525,Boylston,B08303_003,47,41,2010,5 to 9 minutes
2502707525,Boylston,B08303_004,384,117,2010,10 to 14 minutes
2502707525,Boylston,B08303_005,571,176,2010,15 to 19 minutes
2502707525,Boylston,B08303_006,237,94,2010,20 to 24 minutes
2502707525,Boylston,B08303_007,147,68,2010,25 to 29 minutes
2502707525,Boylston,B08303_008,269,102,2010,30 to 34 minutes
2502707525,Boylston,B08303_009,94,48,2010,35 to 39 minutes
2502707525,Boylston,B08303_010,26,28,2010,40 to 44 minutes
2502707525,Boylston,B08303_011,111,67,2010,45 to 59 minutes
2502707525,Boylston,B08303_012,167,74,2010,60 to 89 minutes
2502707525,Boylston,B08303_013,78,48,2010,90 or more minutes
2502709105,Brookfield,B08303_002,84,72,2010,Less than 5 minutes
2502709105,Brookfield,B08303_003,176,88,2010,5 to 9 minutes
2502709105,Brookfield,B08303_004,286,76,2010,10 to 14 minutes
2502709105,Brookfield,B08303_005,157,62,2010,15 to 19 minutes
2502709105,Brookfield,B08303_006,229,104,2010,20 to 24 minutes
2502709105,Brookfield,B08303_007,48,41,2010,25 to 29 minutes
2502709105,Brookfield,B08303_008,96,55,2010,30 to 34 minutes
2502709105,Brookfield,B08303_009,41,48,2010,35 to 39 minutes
2502709105,Brookfield,B08303_010,88,49,2010,40 to 44 minutes
2502709105,Brookfield,B08303_011,321,94,2010,45 to 59 minutes
2502709105,Brookfield,B08303_012,140,74,2010,60 to 89 minutes
2502709105,Brookfield,B08303_013,82,41,2010,90 or more minutes
