GEOID,NAME,variable,estimate,moe,year,label_short
2502702760,Auburn,B08201_002,239,89,2010,No vehicle available
2502702760,Auburn,B08201_003,2098,256,2010,1 vehicle available
2502702760,Auburn,B08201_004,2853,232,2010,2 vehicles available
2502702760,Auburn,B08201_005,833,128,2010,3 vehicles available
2502702760,Auburn,B08201_006,394,99,2010,4 or more vehicles available
2502703740,Barre,B08201_002,42,39,2010,No vehicle available
2502703740,Barre,B08201_003,619,174,2010,1 vehicle available
2502703740,Barre,B08201_004,942,162,2010,2 vehicles available
2502703740,Barre,B08201_005,306,112,2010,3 vehicles available
2502703740,Barre,B08201_006,172,75,2010,4 or more vehicles available
2502705490,Berlin,B08201_002,20,20,2010,No vehicle available
2502705490,Berlin,B08201_003,215,63,2010,1 vehicle available
2502705490,Berlin,B08201_004,502,82,2010,2 vehicles available
2502705490,Berlin,B08201_005,248,61,2010,3 vehicles available
2502705490,Berlin,B08201_006,59,25,2010,4 or more vehicles available
2502706015,Blackstone,B08201_002,111,60,2010,No vehicle available
2502706015,Blackstone,B08201_003,839,196,2010,1 vehicle available
2502706015,Blackstone,B08201_004,1467,217,2010,2 vehicles available
2502706015,Blackstone,B08201_005,597,163,2010,3 vehicles available
2502706015,Blackstone,B08201_006,352,115,2010,4 or more vehicles available
2502707525,Boylston,B08201_002,21,24,2010,No vehicle available
2502707525,Boylston,B08201_003,555,117,2010,1 vehicle available
2502707525,Boylston,B08201_004,670,104,2010,2 vehicles available
2502707525,Boylston,B08201_005,376,88,2010,3 vehicles available
2502707525,Boylston,B08201_006,76,47,2010,4 or more vehicles available
2502709105,Brookfield,B08201_002,32,29,2010,No vehicle available
2502709105,Brookfield,B08201_003,386,100,2010,1 vehicle available
2502709105,Brookfield,B08201_004,719,115,2010,2 vehicles available
2502709105,Brookfield,B08201_005,191,76,2010,3 vehicles available
2502709105,Brookfield,B08201_006,47,33,2010,4 or more vehicles available
2502712715,Charlton,B08201_002,125,81,2010,No vehicle available
2502712715,Charlton,B08201_003,922,207,2010,1 vehicle available
2502712715,Charlton,B08201_004,2175,211,2010,2 vehicles available
2502712715,Charlton,B08201_005,906,175,2010,3 vehicles available
2502712715,Charlton,B08201_006,326,98,2010,4 or more vehicles available
2502717300,Douglas,B08201_002,105,99,2010,No vehicle available
2502717300,Douglas,B08201_003,555,199,2010,1 vehicle available
2502717300,Douglas,B08201_004,1389,209,2010,2 vehicles available
2502717300,Douglas,B08201_005,690,144,2010,3 vehicles available
2502717300,Douglas,B08201_006,287,103,2010,4 or more vehicles available
2502717685,Dudley,B08201_002,237,127,2010,No vehicle available
2502717685,Dudley,B08201_003,960,179,2010,1 vehicle available
2502717685,Dudley,B08201_004,1823,214,2010,2 vehicles available
2502717685,Dudley,B08201_005,605,139,2010,3 vehicles available
2502717685,Dudley,B08201_006,306,114,2010,4 or more vehicles available
2502718560,East Brookfield,B08201_002,6,10,2010,No vehicle available
2502718560,East Brookfield,B08201_003,238,64,2010,1 vehicle available
2502718560,East Brookfield,B08201_004,328,58,2010,2 vehicles available
2502718560,East Brookfield,B08201_005,109,39,2010,3 vehicles available
2502718560,East Brookfield,B08201_006,55,25,2010,4 or more vehicles available
2502726430,Grafton,B08201_002,184,82,2010,No vehicle available
2502726430,Grafton,B08201_003,1707,230,2010,1 vehicle available
2502726430,Grafton,B08201_004,3216,236,2010,2 vehicles available
2502726430,Grafton,B08201_005,769,180,2010,3 vehicles available
2502726430,Grafton,B08201_006,349,108,2010,4 or more vehicles available
2502728740,Hardwick,B08201_002,77,56,2010,No vehicle available
2502728740,Hardwick,B08201_003,377,102,2010,1 vehicle available
2502728740,Hardwick,B08201_004,451,108,2010,2 vehicles available
2502728740,Hardwick,B08201_005,213,70,2010,3 vehicles available
2502728740,Hardwick,B08201_006,62,40,2010,4 or more vehicles available
2502730560,Holden,B08201_002,196,85,2010,No vehicle available
2502730560,Holden,B08201_003,1671,209,2010,1 vehicle available
2502730560,Holden,B08201_004,3341,213,2010,2 vehicles available
2502730560,Holden,B08201_005,779,148,2010,3 vehicles available
2502730560,Holden,B08201_006,330,93,2010,4 or more vehicles available
2502730945,Hopedale,B08201_002,56,45,2010,No vehicle available
2502730945,Hopedale,B08201_003,415,118,2010,1 vehicle available
2502730945,Hopedale,B08201_004,1237,176,2010,2 vehicles available
2502730945,Hopedale,B08201_005,271,116,2010,3 vehicles available
2502730945,Hopedale,B08201_006,136,71,2010,4 or more vehicles available
2502734795,Leicester,B08201_002,203,118,2010,No vehicle available
2502734795,Leicester,B08201_003,1208,231,2010,1 vehicle available
2502734795,Leicester,B08201_004,1529,212,2010,2 vehicles available
2502734795,Leicester,B08201_005,753,184,2010,3 vehicles available
2502734795,Leicester,B08201_006,258,105,2010,4 or more vehicles available
